evangélico;7;41;3;22
esconder;2;16;14;42
creche;65;0;1;6
canção;1;51;0;6
tio;4;23;6;38
pesquisa;21;2;12;39
mover;3;53;2;6
identidade;9;32;1;26
focar;27;14;7;27
firme;2;32;9;36
esclarecer;52;2;11;14
busca;15;36;8;17
atitude;5;16;14;39
ódio;5;9;18;38
responsável;17;5;36;16
independente;26;23;2;13
etc;21;6;2;42
eleger;17;3;7;39
culto;2;41;3;21
cadê;7;8;4;38
solicitar;57;1;6;9
parabenizar;58;5;10;4
influência;2;19;2;53
falso;4;10;21;39
eterno;4;48;7;16
descobrir;2;23;18;28
calar;3;22;16;28
arrepender;1;47;2;15
união;38;3;2;23
trás;4;15;6;44
perto;11;30;8;28
marco;39;15;4;14
levante;15;44;5;4
impressionante;6;8;10;47
evento;10;9;12;36
divulgar;11;0;11;48
comunidade;24;7;7;28
bola;2;12;8;49
américa;9;7;14;40
serviço;22;3;6;43
marido;3;27;24;17
língua;11;23;0;31
legislativo;58;7;5;7
europa;2;12;7;42
estadual;58;0;3;11
escândalo;5;3;47;4
ea;1;4;3;62
absolutamente;27;9;15;23
vice;50;0;7;8
técnica;54;1;4;13
religioso;21;10;8;29
melhorar;43;7;1;16
instrumento;28;28;6;14
denunciar;7;5;21;35
consequência;11;7;11;43
colega;53;4;3;15
avaliar;44;3;2;18
ônibus;9;2;18;27
sozinho;6;28;4;30
razão;24;6;10;27
preço;6;12;10;39
presa;1;11;48;7
padre;4;26;21;17
organização;27;0;25;16
mentiroso;2;5;17;48
material;17;20;2;29
maravilhoso;0;60;1;12
julgar;5;18;23;21
sustentar;8;27;4;28
sonho;5;37;3;15
servidor;54;1;3;9
sentimento;3;26;5;28
seguidor;1;9;2;57
região;20;12;8;19
questionar;18;3;14;27
orçamento;49;1;1;12
odiar;2;19;3;33
natural;6;28;1;28
investimento;57;1;0;12
investigação;23;0;33;6
formação;49;1;1;15
contribuir;30;13;3;22
bacana;3;4;0;65
armada;43;1;8;14
aguentar;3;8;14;37
viajar;0;9;9;47
ventre;2;21;0;37
expressão;17;12;11;25
escolha;11;12;1;42
desejo;21;39;2;9
corte;12;4;30;16
coronel;23;8;24;12
carne;0;49;2;15
tiro;9;3;23;33
religião;8;20;3;34
pão;1;32;2;26
prefeitura;16;2;5;23
maria;11;8;5;40
mandato;18;4;20;24
justamente;25;22;7;15
inferno;0;49;1;15
financeiro;35;14;5;14
feira;22;16;2;22
fascista;1;0;8;36
convocar;18;18;13;13
comemorar;6;4;20;33
verde;2;3;27;34
trocar;5;11;5;43
rico;11;5;2;44
reunir;12;30;7;17
referência;18;7;1;39
modelo;40;9;0;10
mentir;2;2;22;35
impacto;32;11;2;16
expor;20;11;7;27
cpmi;5;2;54;3
cobrar;18;2;5;34
avaliação;60;0;0;2
atual;34;10;5;21
anteriormente;28;7;10;25
adoração;0;61;1;2
trans;4;0;6;7
prometer;3;20;5;39
ocorrer;30;3;6;23
norte;13;14;11;28
lindo;1;29;2;35
horário;8;24;2;30
errar;3;13;10;35
desculpa;15;14;5;34
cruz;0;48;0;6
contato;12;9;6;35
combate;23;7;12;19
vitória;6;35;3;21
tribunal;24;3;25;13
preocupação;31;13;5;14
orientar;43;2;0;4
organizado;6;1;52;8
mero;4;9;7;40
internacional;23;2;12;25
fechado;5;31;2;21
exercer;16;19;6;22
desigualdade;41;0;1;17
denúncia;12;3;29;18
construção;30;5;4;26
salvador;5;32;8;17
reduzir;24;3;11;20
memória;9;27;13;11
general;1;9;45;4
fonte;3;29;4;19
familiar;13;21;15;19
câmera;8;3;21;26
conferência;40;5;0;3
capital;11;2;4;35
venezuela;3;0;35;19
sexo;8;3;4;15
quantidade;4;9;4;49
longe;10;19;4;29
josé;13;19;12;13
indignação;7;12;11;29
coletivo;15;6;8;30
centro;16;12;3;33
carta;3;25;5;22
bicho;3;8;6;47
bahia;26;5;11;7
servo;0;56;0;3
reforma;22;15;7;12
qu;26;13;4;19
perdido;8;23;5;26
pautar;40;5;9;8
operação;10;2;23;31
módulo;3;1;0;45
gigantesco;7;6;6;46
entrega;1;49;5;9
data;26;8;4;13
cortar;11;14;9;25
avivamento;0;55;0;0
atividade;40;5;1;15
técnico;52;0;3;8
time;2;3;1;41
tentativa;21;3;19;16
supremo;7;6;42;4
sincero;4;30;2;28
máscara;1;0;1;51
ladrão;2;5;37;13
investir;33;8;0;19
governar;4;23;9;24
demanda;36;2;1;11
comparar;12;12;11;23
puxar;2;25;5;28
jurídico;17;5;22;13
joelho;0;51;2;7
faltar;7;17;11;21
falado;9;31;3;20
equipa;19;12;0;29
emenda;36;0;5;17
dominar;5;15;14;26
debaixo;0;49;2;5
visita;16;18;6;8
senado;14;4;22;21
seminário;39;5;1;5
sacrifício;0;31;1;27
recado;5;6;13;33
propor;47;2;2;10
parlamento;31;2;10;16
parado;8;11;13;26
microfone;17;34;1;7
inocente;0;2;23;35
eleito;15;0;6;31
cor;7;10;4;30
colégio;27;1;0;20
